Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,GK,cluster
Thibaut Courtois,GK,31,181,181,Belgium,R. Madrid,6,1,10,2,10,9,10,1,2,3,13,5,3,12,8,15,15,12,16,9,16,16,14,13,3,16,14,11,12,13,14,18,12,11,8,14,16,5,18,5,15,20,16,14,5,16,16,18,19,12,6,15,199,96,20,9,8500,1992/5/11,296047.0,,,left,False,True,False,True,['GK_1']
Alisson,GK,31,177,180,Brazil,Liverpool,3,3,10,3,15,2,7,3,3,2,14,5,2,14,12,17,14,17,15,11,16,19,13,11,11,18,11,17,13,16,16,13,17,13,12,15,17,5,16,8,1,15,13,14,12,16,15,18,17,16,14,14,191,91,9,20,8250,1992/10/2,220384.0,,,right,False,False,True,True,['GK_0']
Manuel Neuer,GK,37,175,193,Germany,FC Bayern München,2,6,12,7,12,8,11,7,12,9,15,13,11,12,13,16,15,20,15,15,15,18,12,18,13,16,13,16,11,13,14,17,19,11,12,16,17,4,19,8,5,15,16,14,18,14,18,16,16,20,8,18,193,93,12,20,8500,1986/3/27,345204.0,,,right,False,False,True,True,['GK_0']
Ederson,GK,30,175,180,"Brazil,Portugal",Manchester City,5,2,11,3,14,8,9,12,2,1,18,12,3,17,12,17,18,20,16,17,15,16,2,7,15,13,14,13,14,13,13,13,15,13,14,13,16,5,16,5,2,13,16,13,15,16,20,13,14,17,6,17,188,86,20,10,8500,1993/8/17,208785.0,,,left,False,True,False,True,['GK_1']
Marc-André ter Stegen,GK,31,174,183,Germany,Barcelona,6,3,3,3,13,9,7,1,3,3,17,4,2,14,11,17,15,18,15,9,13,18,5,14,1,12,14,10,14,14,16,16,15,11,13,15,15,6,15,8,14,13,15,15,12,14,19,14,18,18,10,17,187,85,16,20,7950,1992/4/30,164999.0,,,right,False,False,True,True,['GK_0']
Jan Oblak,GK,30,172,178,Slovenia,A. Madrid,5,3,1,3,12,9,1,1,1,1,14,12,2,11,8,11,13,17,16,8,16,15,15,11,3,16,13,13,11,13,13,13,9,13,13,13,16,9,15,5,16,15,15,15,4,18,16,16,19,15,9,14,189,84,8,20,8050,1993/1/7,356125.0,,,right,False,False,True,True,['GK_0']
Édouard Mendy,GK,31,165,167,"Senegal,Guinea-Bissau,France",Chelsea,2,1,1,3,11,5,8,1,3,2,14,4,1,11,10,14,12,13,16,8,16,12,8,10,3,16,13,10,12,15,14,17,15,11,14,15,15,7,15,6,13,18,16,13,14,16,13,14,16,12,8,12,194,89,10,20,8000,1992/3/1,57996.0,,,right,False,False,True,True,['GK_0']
Gianluigi Donnarumma,GK,24,162,178,Italy,Paris Saint-Germain,1,2,4,3,7,1,7,3,8,3,7,6,7,6,8,16,16,14,14,8,15,15,6,14,2,15,15,13,10,16,16,18,15,12,15,16,17,4,15,4,1,16,14,15,9,15,13,16,18,11,14,12,196,90,7,20,7800,1999/2/25,249315.0,,,right,False,False,True,True,['GK_0']
Mike Maignan,GK,28,161,166,"France,French Guiana,Haiti",AC Milan,1,1,6,1,12,1,6,10,5,1,13,9,5,12,8,15,14,15,16,13,14,15,6,15,1,15,15,12,8,16,14,15,17,11,14,15,17,5,14,6,1,13,15,16,13,15,16,14,17,7,9,14,191,89,9,20,6100,1995/7/3,69037.0,,,right,False,False,True,True,['GK_0']
Keylor Navas,GK,37,158,167,"Costa Rica,Spain",Paris Saint-Germain,3,3,3,1,10,1,9,1,1,2,10,2,3,8,11,15,15,13,17,8,15,16,8,12,1,14,15,15,12,17,14,12,17,13,14,13,15,4,17,9,1,10,15,14,4,12,14,16,17,12,16,15,185,80,8,20,7491,1986/12/15,230137.0,,,right,False,False,True,True,['GK_0']
