Name,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),both,left,right,GK,cluster
Thibaut Courtois,0.33333333333333337,0.0,0.8181818181818182,0.1111111111111111,0.6428571428571428,0.47058823529411764,0.7499999999999999,0.0,0.07142857142857142,0.20000000000000004,0.6666666666666667,0.23529411764705882,0.16666666666666669,0.6875,0.4375,0.7142857142857143,0.75,0.5555555555555556,0.8461538461538463,0.5,0.9090909090909092,0.7894736842105263,0.9285714285714286,0.631578947368421,0.14285714285714285,0.8571428571428571,0.7333333333333334,0.5882352941176471,0.7142857142857142,0.6428571428571428,0.8,0.875,0.46666666666666673,0.6428571428571428,0.4375,0.6666666666666665,0.7777777777777777,0.26666666666666666,0.894736842105263,0.25,0.9333333333333333,1.0,0.75,0.625,0.22222222222222224,0.8181818181818182,0.7142857142857142,0.9411764705882353,1.0,0.5294117647058822,0.1875,0.7857142857142857,0.0,1.0,0.0,1,['GK_1']
Alisson,0.13333333333333336,0.2222222222222222,0.8181818181818182,0.2222222222222222,1.0,0.058823529411764705,0.49999999999999994,0.15384615384615385,0.14285714285714285,0.1,0.7333333333333334,0.23529411764705882,0.08333333333333333,0.8125,0.6875,0.8571428571428571,0.6666666666666665,0.8333333333333333,0.7692307692307694,0.625,0.9090909090909092,0.9473684210526316,0.8571428571428571,0.5263157894736843,0.7142857142857143,0.9999999999999999,0.5333333333333332,0.9411764705882353,0.7857142857142856,0.8571428571428571,0.9333333333333333,0.5625,0.8,0.7857142857142856,0.6875,0.7222222222222221,0.8333333333333333,0.26666666666666666,0.7894736842105263,0.4375,0.0,0.6666666666666667,0.5625,0.625,0.611111111111111,0.8181818181818182,0.6428571428571428,0.9411764705882353,0.8181818181818181,0.7647058823529411,0.6875,0.7142857142857143,0.0,0.0,1.0,1,['GK_0']
Manuel Neuer,0.06666666666666667,0.5555555555555556,0.9999999999999999,0.6666666666666665,0.7857142857142857,0.4117647058823529,0.8333333333333333,0.4615384615384616,0.7857142857142857,0.8,0.8,0.7058823529411764,0.8333333333333333,0.6875,0.75,0.7857142857142857,0.75,1.0,0.7692307692307694,0.875,0.8181818181818183,0.894736842105263,0.7857142857142857,0.894736842105263,0.8571428571428571,0.8571428571428571,0.6666666666666667,0.8823529411764706,0.6428571428571428,0.6428571428571428,0.8,0.8125,0.9333333333333333,0.6428571428571428,0.6875,0.7777777777777777,0.8333333333333333,0.2,0.9473684210526316,0.4375,0.26666666666666666,0.6666666666666667,0.75,0.625,0.9444444444444444,0.6363636363636364,0.857142857142857,0.8235294117647058,0.7272727272727273,1.0,0.3125,0.9999999999999999,0.0,0.0,1.0,1,['GK_0']
Ederson,0.26666666666666666,0.1111111111111111,0.9090909090909091,0.2222222222222222,0.9285714285714286,0.4117647058823529,0.6666666666666666,0.8461538461538463,0.07142857142857142,0.0,1.0,0.6470588235294117,0.16666666666666669,1.0,0.6875,0.8571428571428571,1.0,1.0,0.8461538461538463,1.0,0.8181818181818183,0.7894736842105263,0.07142857142857142,0.3157894736842105,1.0,0.6428571428571428,0.7333333333333334,0.7058823529411764,0.8571428571428572,0.6428571428571428,0.7333333333333334,0.5625,0.6666666666666667,0.7857142857142856,0.8125,0.6111111111111112,0.7777777777777777,0.26666666666666666,0.7894736842105263,0.25,0.06666666666666667,0.5333333333333334,0.75,0.5625,0.7777777777777777,0.8181818181818182,0.9999999999999998,0.6470588235294117,0.5454545454545454,0.8235294117647058,0.1875,0.9285714285714285,0.0,1.0,0.0,1,['GK_1']
Marc-André ter Stegen,0.33333333333333337,0.2222222222222222,0.1818181818181818,0.2222222222222222,0.8571428571428571,0.47058823529411764,0.49999999999999994,0.0,0.14285714285714285,0.20000000000000004,0.9333333333333333,0.1764705882352941,0.08333333333333333,0.8125,0.625,0.8571428571428571,0.75,0.8888888888888888,0.7692307692307694,0.5,0.6363636363636365,0.894736842105263,0.2857142857142857,0.6842105263157894,0.0,0.5714285714285714,0.7333333333333334,0.5294117647058824,0.8571428571428572,0.7142857142857143,0.9333333333333333,0.75,0.6666666666666667,0.6428571428571428,0.75,0.7222222222222221,0.7222222222222221,0.33333333333333337,0.736842105263158,0.4375,0.8666666666666667,0.5333333333333334,0.6875,0.6875,0.611111111111111,0.6363636363636364,0.9285714285714284,0.7058823529411764,0.9090909090909092,0.8823529411764706,0.4375,0.9285714285714285,0.0,0.0,1.0,1,['GK_0']
Jan Oblak,0.26666666666666666,0.2222222222222222,0.0,0.2222222222222222,0.7857142857142857,0.47058823529411764,0.0,0.0,0.0,0.0,0.7333333333333334,0.6470588235294117,0.08333333333333333,0.625,0.4375,0.4285714285714286,0.5833333333333333,0.8333333333333333,0.8461538461538463,0.4375,0.9090909090909092,0.736842105263158,1.0,0.5263157894736843,0.14285714285714285,0.8571428571428571,0.6666666666666667,0.7058823529411764,0.6428571428571428,0.6428571428571428,0.7333333333333334,0.5625,0.26666666666666666,0.7857142857142856,0.75,0.6111111111111112,0.7777777777777777,0.5333333333333333,0.736842105263158,0.25,1.0,0.6666666666666667,0.6875,0.6875,0.16666666666666666,1.0,0.7142857142857142,0.8235294117647058,1.0,0.7058823529411764,0.375,0.7142857142857143,0.0,0.0,1.0,1,['GK_0']
Édouard Mendy,0.06666666666666667,0.0,0.0,0.2222222222222222,0.7142857142857143,0.23529411764705882,0.5833333333333333,0.0,0.14285714285714285,0.1,0.7333333333333334,0.1764705882352941,0.0,0.625,0.5625,0.6428571428571429,0.5,0.6111111111111112,0.8461538461538463,0.4375,0.9090909090909092,0.5789473684210527,0.5,0.47368421052631576,0.14285714285714285,0.8571428571428571,0.6666666666666667,0.5294117647058824,0.7142857142857142,0.7857142857142857,0.8,0.8125,0.6666666666666667,0.6428571428571428,0.8125,0.7222222222222221,0.7222222222222221,0.4,0.736842105263158,0.3125,0.8,0.8666666666666667,0.75,0.5625,0.7222222222222221,0.8181818181818182,0.49999999999999994,0.7058823529411764,0.7272727272727273,0.5294117647058822,0.3125,0.5714285714285714,0.0,0.0,1.0,1,['GK_0']
Gianluigi Donnarumma,0.0,0.1111111111111111,0.2727272727272727,0.2222222222222222,0.4285714285714286,0.0,0.49999999999999994,0.15384615384615385,0.5,0.20000000000000004,0.26666666666666666,0.2941176470588235,0.49999999999999994,0.3125,0.4375,0.7857142857142857,0.8333333333333333,0.6666666666666665,0.6923076923076925,0.4375,0.8181818181818183,0.736842105263158,0.3571428571428571,0.6842105263157894,0.07142857142857142,0.7857142857142857,0.8,0.7058823529411764,0.5714285714285714,0.8571428571428571,0.9333333333333333,0.875,0.6666666666666667,0.7142857142857142,0.875,0.7777777777777777,0.8333333333333333,0.2,0.736842105263158,0.1875,0.0,0.7333333333333334,0.625,0.6875,0.4444444444444444,0.7272727272727274,0.49999999999999994,0.8235294117647058,0.9090909090909092,0.4705882352941177,0.6875,0.5714285714285714,0.0,0.0,1.0,1,['GK_0']
Mike Maignan,0.0,0.0,0.4545454545454545,0.0,0.7857142857142857,0.0,0.4166666666666667,0.6923076923076923,0.2857142857142857,0.0,0.6666666666666667,0.47058823529411764,0.3333333333333333,0.6875,0.4375,0.7142857142857143,0.6666666666666665,0.7222222222222221,0.8461538461538463,0.75,0.7272727272727273,0.736842105263158,0.3571428571428571,0.736842105263158,0.0,0.7857142857142857,0.8,0.6470588235294117,0.42857142857142855,0.8571428571428571,0.8,0.6875,0.8,0.6428571428571428,0.8125,0.7222222222222221,0.8333333333333333,0.26666666666666666,0.6842105263157894,0.3125,0.0,0.5333333333333334,0.6875,0.75,0.6666666666666666,0.7272727272727274,0.7142857142857142,0.7058823529411764,0.8181818181818181,0.23529411764705882,0.375,0.7142857142857143,0.0,0.0,1.0,1,['GK_0']
Keylor Navas,0.13333333333333336,0.2222222222222222,0.1818181818181818,0.0,0.6428571428571428,0.0,0.6666666666666666,0.0,0.0,0.1,0.4666666666666666,0.058823529411764705,0.16666666666666669,0.4375,0.625,0.7142857142857143,0.75,0.6111111111111112,0.9230769230769231,0.4375,0.8181818181818183,0.7894736842105263,0.5,0.5789473684210527,0.0,0.7142857142857143,0.8,0.8235294117647058,0.7142857142857142,0.9285714285714285,0.8,0.5,0.8,0.7857142857142856,0.8125,0.6111111111111112,0.7222222222222221,0.2,0.8421052631578947,0.5,0.0,0.3333333333333333,0.6875,0.625,0.16666666666666666,0.4545454545454545,0.5714285714285714,0.8235294117647058,0.8181818181818181,0.5294117647058822,0.8125,0.7857142857142857,0.0,0.0,1.0,1,['GK_0']
